Key,PresentEN,PresentBG,ValueEN,ValueBG,Action
"AXLE",True,True,"","",""
"AccessDeniedMessage",True,True,"","",""
"AccessDeniedTitle",True,True,"","",""
"Actions",True,True,"","",""
"AddRole",True,True,"","",""
"AdminRolesTitle",True,True,"","",""
"Are you sure?",True,True,"","",""
"Auth_ConfirmNewPassword",True,True,"","",""
"Auth_ConfirmPassword",True,True,"","",""
"Auth_ConfirmYourEmail",True,True,"","",""
"Auth_CurrentPassword",True,True,"","",""
"Auth_NewPassword",True,True,"","",""
"Auth_PhoneNumber",True,True,"","",""
"Auth_PleaseConfirmByClickingHere",True,True,"","",""
"Auth_RememberMe",True,True,"","",""
"Back",True,True,"","",""
"Common_Back",True,True,"","",""
"Common_Cancel",True,True,"","",""
"Common_Create",True,True,"","",""
"Common_Delete",True,True,"","",""
"Common_Edit",True,True,"","",""
"Common_Save",True,True,"","",""
"Confirm",True,True,"","",""
"Confirm your email",True,True,"","",""
"ConfirmPassword",True,True,"","",""
"ConfirmRoleChange",True,True,"","",""
"Create_Locomotive",True,True,"","",""
"Created successfully",True,True,"","",""
"Deactivate",True,True,"","",""
"Default role assignment failed.",True,True,"","",""
"Delete",True,True,"","",""
"Deleted successfully",True,True,"","",""
"DeletedBy",True,True,"","",""
"DeletedOn",True,True,"","",""
"Details",True,True,"","",""
"Edit Locomotive",True,True,"","",""
"Edit roles",True,True,"","",""
"EditRolesTitle",True,True,"","",""
"Edit_Locomotive",True,True,"","",""
"Edit_Role_Permissions",True,True,"","",""
"Email",True,True,"","",""
"Enum_LocomotiveType_Mainline",True,True,"","",""
"Enum_LocomotiveType_Shunter",True,True,"","",""
"Enum_MeasuringUnits_Km",True,True,"","",""
"Enum_MeasuringUnits_Mh",True,True,"","",""
"Error_Message",True,True,"","",""
"Error_RequestId",True,True,"","",""
"Error_Title",True,True,"","",""
"Failed to ensure default role.",True,True,"","",""
"FailedToAddClaim",True,True,"","",""
"FailedToRemoveClaim",True,True,"","",""
"Footer_R1",True,True,"","",""
"Footer_R2",True,True,"","",""
"Footer_R3",True,True,"","",""
"From",True,True,"","",""
"Group_Exploitation",True,True,"","",""
"Group_Locomotives",True,True,"","",""
"Header_AppName",True,True,"","",""
"Home",True,True,"","",""
"InterAxleMeasurementPeriodDays",True,True,"","",""
"Invalid request.",True,True,"","",""
"InvalidFormData",True,True,"","",""
"InvalidLoginAttempt",True,True,"","",""
"Key",True,True,"","",""
"LastAxleMeasurementDate",True,True,"","",""
"LastPlannedRepairDate",True,True,"","",""
"LastPlannedRepairType",True,True,"","",""
"LockoutMessage",True,True,"","",""
"LockoutTitle",True,True,"","",""
"Locomotive",True,True,"","",""
"Locomotive_AxleCount",True,True,"","",""
"Locomotive_FuelCapacity",True,True,"","",""
"Locomotive_InterAxleMeasurementPeriodDays",True,True,"","",""
"Locomotive_LastAxleMeasurementDate",True,True,"","",""
"Locomotive_LastPlannedRepairDate",True,True,"","",""
"Locomotive_LastPlannedRepairType",True,True,"","",""
"Locomotive_MeasuringUnit",True,True,"","",""
"Locomotive_Number",True,True,"","",""
"Locomotive_TotalEngineHours",True,True,"","",""
"Locomotive_TotalWorkingDays",True,True,"","",""
"Locomotive_Type",True,True,"","",""
"Locomotives",True,True,"","",""
"Login.Title",True,True,"","",""
"LoginButton",True,True,"","",""
"Logout",True,True,"","",""
"Manage",True,True,"","",""
"No access",True,True,"","",""
"NoLocomotivesAvailable",True,True,"","",""
"OwnerCannotBeChanged",True,True,"","",""
"OwnerPermissionsCannotBeChanged",True,True,"","",""
"Page_InDevelopment_Description",True,True,"","",""
"Page_InDevelopment_Title",True,True,"","",""
"Password",True,True,"","",""
"Permiss_For",True,True,"","",""
"Permissions",True,True,"","",""
"PermissionsUpdatedSuccessfully",True,True,"","",""
"Please confirm your account by clicking here",True,True,"","",""
"PleaseSelectRole",True,True,"","",""
"Privacy_P1",True,True,"","",""
"Privacy_P2",True,True,"","",""
"Privacy_P3",True,True,"","",""
"Privacy_Title",True,True,"","",""
"RegisterButton",True,True,"","",""
"RegisterTitle",True,True,"","",""
"RememberMe",True,True,"","",""
"Repairs",True,True,"","",""
"Restore",True,True,"","",""
"Restore failed.",True,True,"","",""
"Restore this user?",True,True,"","",""
"Restored successfully",True,True,"","",""
"Role",True,True,"","",""
"Role.Admin",True,True,"","",""
"Role.Owner",True,True,"","",""
"RoleDisplayName",True,True,"","",""
"RoleName",True,True,"","",""
"Role_Admin",True,True,"","",""
"Roles",True,True,"","",""
"Roles updated.",True,True,"","",""
"Roles_Back",True,True,"","",""
"Roles_Back_To_Groups",True,True,"","",""
"Roles_Deselect_All",True,True,"","",""
"Roles_Edit_Group",True,True,"","",""
"Roles_Edit_Group_Short",True,True,"","",""
"Roles_Group_Permissions",True,True,"","",""
"Roles_Groups_Title",True,True,"","",""
"Roles_Save",True,True,"","",""
"Roles_Select_All",True,True,"","",""
"Save",True,True,"","",""
"Saved successfully",True,True,"","",""
"ShiftWork",True,True,"","",""
"The default UI requires a user store with email support.",True,True,"","",""
"To",True,True,"","",""
"User",True,True,"","",""
"User deactivated.",True,True,"","",""
"User restored.",True,True,"","",""
"Users",True,True,"","",""
"Validation_Unique_Locomotive_Number",True,True,"","",""
"Welcome",True,True,"","",""
"WelcomeSubtitle",True,True,"","",""
"Work",True,True,"","",""
"You cannot deactivate yourself.",True,True,"","",""
"clicking here",True,True,"","",""
